Codice;Ubicazione;Area di Competenza;DescrizioneVia;Civico;CodiceVia;camere;camere_piano;categoria;insegna;nro_apparecchi_tel_ricettiva;numero_servizi;numero_servizi_piano;piani_tot;piano_piano;posti_letto;posti_letto_piano;tipo_att_strut_extra;MUNICIPIO;LONGIT;LATIT;Location
C-AL/51;Corso BUENOS AIRES N. 18 (z.d. 3);ATTIVITA RICETTIVE - Strutt. albergh.;Corso BUENOS AIRES;18;2129;16;16;1;hotel aurora;;3;3;1;1;25;25;Albergo;3;9.2081689797;45.4773041555;45.4773041555, 9.2081689797
C-AL/52;Corso BUENOS AIRES N. 26 (z.d. 3);ATTIVITA RICETTIVE - Strutt. albergh.;Corso BUENOS AIRES;26;2129;25;;3;hotel buenos aires;;;;;;39;;Albergo;3;9.20895242969;45.4781035485;45.4781035485, 9.20895242969
C-AL/53;CORSO BUENOS AIRES N. 33 (z.d. 3);ATTIVITA RICETTIVE - Strutt. albergh.;CORSO BUENOS AIRES;33;2129;65;0;4;grand hotel puccini;;;0;;;97;0;Albergo;3;9.20978784014;45.4793766298;45.4793766298, 9.20978784014
C-AL/54;Via BUONARROTI MICHELANGELO N. 13 (z.d. 7);ATTIVITA RICETTIVE - Strutt. albergh.;Via BUONARROTI MICHELANGELO;13;6253;49;5|10|9;4;hotel wagner;;49;5|10|9;8;1|2|3|4|5|6|7|8;93;9|20|19;Albergo;7;9.15502295211;45.4684196576;45.4684196576, 9.15502295211
C-AL/55;Via BUTTI ENRICO N. 9 (z.d. 9);ATTIVITA RICETTIVE - Strutt. albergh.;Via BUTTI ENRICO;9;1292;110;0;4;hotel milton milano;;;0;;;308;0;Albergo;9;9.17442479968;45.4976411667;45.4976411667, 9.17442479968
C-AL/2;Viale ABRUZZI N. 67 (z.d. 3);ATTIVITA RICETTIVE - Strutt. albergh.;Viale ABRUZZI;67;2177;20;;3;domus;;;;;;36;;Residence;3;9.2167741743;45.4823656356;45.4823656356, 9.2167741743
C-AL/3;Via BARACCHINI FLAVIO N. 12 (z.d. 1);ATTIVITA RICETTIVE - Strutt. albergh.;Via BARACCHINI FLAVIO;12;356;177;0;4;hotel brunelleschi;;;0;;;259;0;Albergo;1;9.19119494633;45.4611211702;45.4611211702, 9.19119494633
C-AL/29;Via MARCELLO BENEDETTO N. 83 (z.d. 3);ATTIVITA RICETTIVE - Strutt. albergh.;Via MARCELLO BENEDETTO;83;2128;28;3|8|8;2;hotel the best;;19;3|8|8;3;T|1|2;56;6|10|9;Albergo;3;9.20894988834;45.4822685214;45.4822685214, 9.20894988834
C-AL/30;VIA MARCELLO BENEDETTO N. 59 (z.d. 3);ATTIVITA RICETTIVE - Strutt. albergh.;VIA MARCELLO BENEDETTO;59;2128;16;1|6|5;2;hotel rallye;1;10;1|4|3|2;4;T|1|2|3;25;2|9|5;Albergo;3;9.20783366691;45.4811410618;45.4811410618, 9.20783366691
C-AL/33;Via BENEFATTORI DELL'OSPEDALE N. 24 (z.d. 9);ATTIVITA RICETTIVE - Strutt. albergh.;Via BENEFATTORI DELL'OSPEDALE;24;1522;10;3|4;1;albergo sicilia;;;1|1;;1|2;19;5|6;Albergo;9;9.18852715846;45.5063397292;45.5063397292, 9.18852715846
C-AL/34;Viale BERENGARIO N. 3 (z.d. 8);ATTIVITA RICETTIVE - Strutt. albergh.;Viale BERENGARIO;3;6364;27;27;3;hotel campion;;18;0;3;;51;49;Albergo;8;9.15113403904;45.4748039297;45.4748039297, 9.15113403904
C-AL/35;Via BIXIO NINO N. 4A (z.d. 3);ATTIVITA RICETTIVE - Strutt. albergh.;Via BIXIO NINO;4A;3133;36;8|9|6|3;3;hotel roxy;;;8|9|6|3;5;5|1|2|3|4;61;13|11|6|5;Albergo;3;9.2076253407;45.4719957207;45.4719957207, 9.2076253407
C-AL/36;Viale BLIGNY N. 23 (z.d. 5);ATTIVITA RICETTIVE - Strutt. albergh.;Viale BLIGNY;23;4045;84;15|9|7;4;hotel d este;;79;26|15|9|7;7;1|2|3|4|5|6|7;138;26|25|14;Albergo;5;9.19206280049;45.451047427;45.451047427, 9.19206280049
C-AL/37;VIALE BLIGNY N. 56 (z.d. 5);ATTIVITA RICETTIVE - Strutt. albergh.;VIALE BLIGNY;56;4045;58;8|10|4;4;IH HOTELS MILANO BOCCONI;;52;8|10|4;6;1|2|3|4|5|6;106;18|7;Albergo;5;9.19476634018;45.4508097943;45.4508097943, 9.19476634018
C-AL/40;Via BONNET NINO num.006/b|;ATTIVITA RICETTIVE - Strutt. albergh.;Via BONNET NINO;;1109;19;2|2|4|4|4;2;residence bonnet;;19;4|2|2|4|4;5;7|1|2|5|6;45;5|10|30|30|30;Residence;;;;
C-AL/41;Via BORGONUOVO N. 1 (z.d. 1);ATTIVITA RICETTIVE - Strutt. albergh.;Via BORGONUOVO;1;139;16;4|4|4|3;4;residence borgonuovo;;15;4|4|4|3;4;1|2|3|4;32;7|7|7|8;Residence;1;9.19175669934;45.4704168509;45.4704168509, 9.19175669934
C-AL/42;Via BORROMEI N. 4 (z.d. 1);ATTIVITA RICETTIVE - Strutt. albergh.;Via BORROMEI;4;632;28;16|10;3;vecchia milano;;;16|10;2;1|2;43;23|17;Albergo;1;9.18200544753;45.4641733025;45.4641733025, 9.18200544753
C-AL/43;Via BOSCOVICH RUGGERO N. 21 deleg. somministr. zheng ruile| (z.d. 2);ATTIVITA RICETTIVE - Strutt. albergh.;Via BOSCOVICH RUGGERO;21;2131;35;5|10;3;hotel bolzano;;;5|10;4;T|1|2|3;68;7|16|18;Albergo;2;9.20274136761;45.4824884995;45.4824884995, 9.20274136761
C-AL/44;Via BOSCOVICH RUGGERO N. 59 (z.d. 3);ATTIVITA RICETTIVE - Strutt. albergh.;Via BOSCOVICH RUGGERO;59;2131;56;51;3;IBIS STYLES MILANO CENTRO;;;0;;;116;108;Albergo;3;9.20912004638;45.4793613128;45.4793613128, 9.20912004638
C-AL/80;Viale CERTOSA N. 108 (z.d. 8);ATTIVITA RICETTIVE - Strutt. albergh.;Viale CERTOSA;108;7174;126;35|34|24|21;4;hotel raffaello;;151;35|34|24|21;5;1|2|3|4|5;223;55|54|43|38|29;Albergo;8;9.14138132228;45.4949022618;45.4949022618, 9.14138132228
C-AL/126;GALLERIA CORSO (DEL) N. 3 (z.d. 1);ATTIVITA RICETTIVE - Strutt. albergh.;GALLERIA CORSO (DEL);3;658;85;12|10|4|16|14;4;hotel ambasciatori;;84;14|12|10|4|16;7;7|8|9|3|4|5|6;180;24|17|9|23|26|32;Albergo;1;9.17754762318;45.4650073038;45.4650073038, 9.17754762318
C-AL/127;Galleria BUENOS AIRES N. 5 sembra avere come indirizzo ufficiale corso buenos aires 42 ma ermes non riconosce il civico (z.d. 3);ATTIVITA RICETTIVE - Strutt. albergh.;Galleria BUENOS AIRES;5;2146;60;3|104|13;4;hotel city;;47;5|104|13;7;1|6|2|5|4|7|3;100;3|147|22;;3;9.21025644653;45.4792162396;45.4792162396, 9.21025644653
C-AL/128;Via GALLI RICCARDO N. 8 (z.d. 8);ATTIVITA RICETTIVE - Strutt. albergh.;Via GALLI RICCARDO;8;6405;27;67|;3;HOTEL LIDO;;27;67|;4;M|2|R|1;36;610|;Albergo;8;9.14417935841;45.4812932964;45.4812932964, 9.14417935841
C-AL/130;Piazzale LUGANO N. 10 (z.d. 9);ATTIVITA RICETTIVE - Strutt. albergh.;Piazzale LUGANO;10;1238;75;0;4;sunflower hotel;;;0;;;131;0;Albergo;9;9.1661968151;45.4987510241;45.4987510241, 9.1661968151
C-AL/131;VIA GALVANI LUIGI N. 12 (z.d. 2);ATTIVITA RICETTIVE - Strutt. albergh.;VIA GALVANI LUIGI;12;1179;320;46|67|68|47|51|23|20|10;4;Hotel Hilton;;;23|20|10|46|67|68|47|51;8;2|3|4|5|6|7|8|9;615;61|88|87|63|66|44|35|17;Albergo;2;9.20003588148;45.4860865501;45.4860865501, 9.20003588148
C-AL/132;Corso GARIBALDI GIUSEPPE N. 68 (z.d. 1);ATTIVITA RICETTIVE - Strutt. albergh.;Corso GARIBALDI GIUSEPPE;68;1010;89;;3;hotel ritter;;;;7;;172;;Albergo;1;9.18413768667;45.4762551955;45.4762551955, 9.18413768667
C-AL/134;CORSO GARIBALDI GIUSEPPE N. 84 (z.d. 1);ATTIVITA RICETTIVE - Strutt. albergh.;CORSO GARIBALDI GIUSEPPE;84;1010;98;;4;hotel carlyle brera;;;;;;203;;Albergo;1;9.18443970301;45.4770124558;45.4770124558, 9.18443970301
C-AL/136;VIA GASPAROTTO LEOPOLDO N. 8 (z.d. 2);ATTIVITA RICETTIVE - Strutt. albergh.;VIA GASPAROTTO LEOPOLDO;8;1205;106;;4;hotel madison;;;;;;168;;Albergo;2;9.20164272497;45.4881232179;45.4881232179, 9.20164272497
C-AL/75;Via CATALANI ALFREDO N. 69 (z.d. 3);ATTIVITA RICETTIVE - Strutt. albergh.;Via CATALANI ALFREDO;69;2425;20;3|4|4|4|4|1;1;albergo la pace;1;14;3|4|4|5|4|1;6;1|2|3|4|5|6;33;6|0|0|0|0|2;Albergo;3;9.22450988772;45.4879371519;45.4879371519, 9.22450988772
C-AL/76;Via CATALANI ALFREDO N. 71 (z.d. 3);ATTIVITA RICETTIVE - Strutt. albergh.;Via CATALANI ALFREDO;71;2425;20;4|6|6|1;2;hotel catalani e madrid;;6;1|2|2|1;4;R|1|2|3;38;8|13|13|1;Albergo;3;9.22451874791;45.4880584791;45.4880584791, 9.22451874791
C-AL/78;Viale CERTOSA N. 68 (z.d. 8);ATTIVITA RICETTIVE - Strutt. albergh.;Viale CERTOSA;68;7174;66;0;4;hotel accademia;;;0;;;130;0;Albergo;8;9.14769764094;45.4920452393;45.4920452393, 9.14769764094
C-AL/79;Viale CERTOSA N. 88 (z.d. 8);ATTIVITA RICETTIVE - Strutt. albergh.;Viale CERTOSA;88;7174;27;;3;albergo accursio;;;;;;39;;Albergo;8;9.14404686675;45.4936891084;45.4936891084, 9.14404686675
C-AL/81;Via CESARI ANTONIO N. 19 (z.d. 9);ATTIVITA RICETTIVE - Strutt. albergh.;Via CESARI ANTONIO;19;1603;89;18|16|13|3;4;residence siloe;;;18|16|13|3;;1|2|3|4|5|6|7;199;37|27|29|9;Residence;9;9.18769460105;45.5196229183;45.5196229183, 9.18769460105
C-AL/82;Via CESENA N. 20 (z.d. 8);ATTIVITA RICETTIVE - Strutt. albergh.;Via CESENA;20;7226;35;;3;hotel corallo;;;;;;48;;Albergo;8;9.16241239781;45.4911243387;45.4911243387, 9.16241239781
C-AL/83;Piazza CINQUE GIORNATE N. 6 (z.d. 1);ATTIVITA RICETTIVE - Strutt. albergh.;Piazza CINQUE GIORNATE;6;3053;22;;2;hotel cinque giornate;;;;;;48;;Albergo;1;9.2071819722;45.4617106546;45.4617106546, 9.2071819722
C-AL/85;Via COLONNA VITTORIA N. 48 (z.d. 7);ATTIVITA RICETTIVE - Strutt. albergh.;Via COLONNA VITTORIA;48;6284;13;1|6;3;residence colonna;;;0;3;R|2|3;25;2|12;Residence;7;9.14863671767;45.4673693599;45.4673693599, 9.14863671767
C-AL/86;Via COPERNICO NICCOLO' num.018/20| (z.d. 2);ATTIVITA RICETTIVE - Strutt. albergh.;Via COPERNICO NICCOLO';;1204;53;4|12|3;3;hotel club;;53;4|12|3;6;T|1|2|3|4|5;73;5|16;Albergo;;;;
C-AL/88;Via CORRENTI CESARE N. 13 (z.d. 1) cesare correnti 13;ATTIVITA RICETTIVE - Strutt. albergh.;;;;43;;4;hotel regina;;;;;;59;;Albergo;;;;
C-AL/91;Piazzale CORVETTO LUIGI EMANUELE N. 5 (z.d. 4);ATTIVITA RICETTIVE - Strutt. albergh.;Piazzale CORVETTO LUIGI EMANUELE;5;4174;15;3|6|6;1;hotel corvetto;;3;1|1|1;3;R|1|2;25;4|7|7;Albergo;4;9.22499507605;45.4400983582;45.4400983582, 9.22499507605
C-AL/93;Via DAL POZZO TOSCANELLI PAOLO N. 4 (z.d. 2);ATTIVITA RICETTIVE - Strutt. albergh.;Via DAL POZZO TOSCANELLI PAOLO;4;2516;16;6|6|4;1;trento;;11;4|4|3;3;1|2|3;23;8|9|6;Albergo;2;9.2411709427;45.503979104;45.503979104, 9.2411709427
C-AL/94;Via DANDOLO ENRICO N. 2 (z.d. 1);ATTIVITA RICETTIVE - Strutt. albergh.;Via DANDOLO ENRICO;2;3028;24;;3;albergo pavone;;;;;;50;;Albergo;1;9.20455586188;45.4627385563;45.4627385563, 9.20455586188
C-AL/95;Via DE AMICIS EDMONDO N. 32 (z.d. 1);ATTIVITA RICETTIVE - Strutt. albergh.;Via DE AMICIS EDMONDO;32;574;47;12|13|6|3;5;hotel pierre milano;;47;12|13|6|3;5;1|2|3|4|5;92;26|24|11|7;Albergo;1;9.1769386177;45.4595085162;45.4595085162, 9.1769386177
C-AL/97;Via MARE (DEL) N. 93 (z.d. 5);ATTIVITA RICETTIVE - Strutt. albergh.;Via MARE (DEL);93;5318;87;0;3;hotel alga;;;0;;;159;0;Albergo;5;9.15716962736;45.4190832331;45.4190832331, 9.15716962736
C-AL/98;Via DESENZANO N. 12 (z.d. 7);ATTIVITA RICETTIVE - Strutt. albergh.;Via DESENZANO;12;6610;60;12|9|6;3;residence desenzano;;;12|9|6;6;R|1|2|3|4|S;115;20|24|23|12;Residence;7;9.14076191833;45.4620309045;45.4620309045, 9.14076191833
C-AL/99;Via DOMODOSSOLA N. 16 (z.d. 8);ATTIVITA RICETTIVE - Strutt. albergh.;Via DOMODOSSOLA;16;7152;60;10|10|10|10|10|10;4;hotel admiral;;60;10|10|10|10|10|10;6;1|2|3|4|5|6;102;17|17|17|17|17|17;Albergo;8;9.1601309364;45.480497888;45.480497888, 9.1601309364
C-AL/100;VIA DOMENICHINO N. 41 (z.d. 7);ATTIVITA RICETTIVE - Strutt. albergh.;VIA DOMENICHINO;41;6383;77;21|11|10|8;3;hotel domenichino;;;21|11|10|8;5;1|2|3|4|5|6;142;29|16|15|12;Albergo;7;9.14797757725;45.4720144459;45.4720144459, 9.14797757725
C-AL/103;Via DONATELLO num.010/12| (z.d. 3);ATTIVITA RICETTIVE - Strutt. albergh.;Via DONATELLO;;2214;10;4|6;4;residence donatello;;10;4|6;2;T|1;20;12|16;Residence;;;;
C-AL/105;Piazza DUCA D'AOSTA N. 9 (z.d. 2);ATTIVITA RICETTIVE - Strutt. albergh.;Piazza DUCA D'AOSTA;9;1200;235;45|42|43|47;l;hotel execelsior gallia;;;47|45|42|43;8;1|2|3|4|5|6;468;73|74|69|67|79|71;Albergo;2;9.2019350528856;45.4857991093825;45.4857991093825, 9.2019350528856
C-AL/106;PIAZZA DUCA D'AOSTA N. 16 (z.d. 2);ATTIVITA RICETTIVE - Strutt. albergh.;PIAZZA DUCA D'AOSTA;16;1200;63;9;3;mini hotel aosta;;63;9;7;1|2|3|4|5|6|7;110;15|16;Albergo;2;9.20505553482;45.4843984705;45.4843984705, 9.20505553482
C-AL/107;VIALE DORIA ANDREA N. 4 (z.d. 2);ATTIVITA RICETTIVE - Strutt. albergh.;VIALE DORIA ANDREA;4;2230;143;;4;starhotels E.C.H.O.;;;;7;;299;;Albergo;2;9.20706934752;45.4848143746;45.4848143746, 9.20706934752
C-AL/107;VIALE DORIA ANDREA N. 4 (z.d. 2);ATTIVITA RICETTIVE - Strutt. albergh.;VIALE DORIA ANDREA;4;2230;143;;4;starhotels E.C.H.O.;;;;7;;299;;Albergo;2;9.20706934752;45.4848143746;45.4848143746, 9.20706934752
C-AL/109;Viale DORIA ANDREA N. 22 (z.d. 3);ATTIVITA RICETTIVE - Strutt. albergh.;Viale DORIA ANDREA;22;2230;124;12|22;4;doria grand hotel;;124;12|22;10;1|2|3|4|5|6|7|8|9|0;234;23;Albergo;3;9.21165574468;45.4854182058;45.4854182058, 9.21165574468
C-AL/110;Piazza DUOMO (DEL) N. 25 (z.d. 1);ATTIVITA RICETTIVE - Strutt. albergh.;Piazza DUOMO (DEL);25;1;161;30|50|38|22|2|29;4;grand hotel duomo;;161;29|30|50|38|22|2;7;2|3|4|5|A|1;244;42|46|62|60|31|3;Albergo;1;9.19097061766;45.464787716;45.464787716, 9.19097061766
C-AL/111;Via FINOCCHIARO APRILE N. 11 (z.d. 2);ATTIVITA RICETTIVE - Strutt. albergh.;Via FINOCCHIARO APRILE;11;2120;49;13|13|13;3;albergo sempione;;;13|13|13;;1|2|3;101;19|19|19;Albergo;2;9.19998255825;45.478575313;45.478575313, 9.19998255825
C-AL/112;Via FINOCCHIARO APRILE N. 2 (z.d. 2);ATTIVITA RICETTIVE - Strutt. albergh.;Via FINOCCHIARO APRILE;2;2120;439;0;3;hotel ibis milano centro;;;0;;;636;0;Albergo;2;9.20156872904;45.4780342613;45.4780342613, 9.20156872904
C-AL/116;Viale FAMAGOSTA N. 48 (z.d. 6);ATTIVITA RICETTIVE - Strutt. albergh.;Viale FAMAGOSTA;48;5353;54;22|22|10;4;green house residence;;54;22|22|10;3;R|1|3;97;38|38|21;Residence;6;9.16389785992;45.4370999009;45.4370999009, 9.16389785992
C-AL/117;Via FARINI CARLO num.001/a| (z.d. 8);ATTIVITA RICETTIVE - Strutt. albergh.;Via FARINI CARLO;;1114;31;7|8|8|8;3;hotel san guido;;31;8|7|8|8;4;1|2|3|4;47;11|12|12|12;Albergo;;;;
C-AL/118;VIA FATEBENEFRATELLI N. 21 (z.d. 1);ATTIVITA RICETTIVE - Strutt. albergh.;VIA FATEBENEFRATELLI;21;144;121;;4;hotel cavour;;;;;;230;;Albergo;1;9.19433429999;45.4726407318;45.4726407318, 9.19433429999
C-AL/119;Via FILZI FABIO N. 3 (z.d. 2);ATTIVITA RICETTIVE - Strutt. albergh.;Via FILZI FABIO;3;1190;68;5|29|10|4;4;hotel marconi;;67;5|29|10|4;6;T|1|2|3|4|5;149;6|42|15|4;Albergo;2;9.19870757732;45.482193749;45.482193749, 9.19870757732
C-AL/120;Via FERRUCCI FRANCESCO N. 10 (z.d. 8);ATTIVITA RICETTIVE - Strutt. albergh.;Via FERRUCCI FRANCESCO;10;7150;71;12|12|12|12|8|8|7|11;3;hotel scala nord;;49;11|12|12|12|12|8|8|7;8;1|2|3|4|5|6|7|R;95;17|17|17|17|10|10|10|16;Albergo;8;9.16422442806;45.4795160346;45.4795160346, 9.16422442806
C-AL/121;VIA FLUMENDOSA N. 35 (z.d. 2);ATTIVITA RICETTIVE - Strutt. albergh.;VIA FLUMENDOSA;35;658;43;7|9;3;hotel agape;;45;7|9;5;T|1|2|3|4;75;13|16;Albergo;;;;
C-AL/122;VIA FORZE ARMATE (DELLE) N. 8 (z.d. 7);ATTIVITA RICETTIVE - Strutt. albergh.;VIA FORZE ARMATE (DELLE);8;6643;12;0;1;hotel edy;;2;0;1;;25;0;Albergo;7;9.13884413996504;45.4636678749624;45.4636678749624, 9.13884413996504
C-AL/123;Via GALGARIO FRA' N. 4 (z.d. 7);ATTIVITA RICETTIVE - Strutt. albergh.;Via GALGARIO FRA';4;6607;12;0;1;hotel gambara;;2;0;1;;24;0;Albergo;7;9.13952074728;45.4644621448;45.4644621448, 9.13952074728
C-AL/124;Via FUMAGALLI ANGELO CARLO N. 4 (z.d. 6);ATTIVITA RICETTIVE - Strutt. albergh.;Via FUMAGALLI ANGELO CARLO;4;5149;103;24|16|15;4;art hotel navigli;;103;24|16|15;5;1|2|3|4|5;205;48|31|30;Albergo;6;9.16985323768;45.4500877586;45.4500877586, 9.16985323768
C-AL/125;VIA GALILEI GALILEO N. 2 (z.d. 2);ATTIVITA RICETTIVE - Strutt. albergh.;VIA GALILEI GALILEO;2;1102;97;97;4;hotel windsor;;;;;;193;167;Albergo;2;9.19510472795;45.479573168;45.479573168, 9.19510472795
C-AL/56;Via CACCIANINO ANTONIO N. 10 (z.d. 3);ATTIVITA RICETTIVE - Strutt. albergh.;Via CACCIANINO ANTONIO;10;2419;8;8;1;hotel ambra;;;0;;;18;18;Albergo;3;9.227326468;45.4849792231;45.4849792231, 9.227326468
C-AL/57;Via CADIBONA N. 2 (z.d. 4);ATTIVITA RICETTIVE - Strutt. albergh.;Via CADIBONA;2;3339;30;0;3;hotel molise2;;;0;;;42;0;Albergo;4;9.22485152189;45.4535038836;45.4535038836, 9.22485152189
C-AL/59;pietro calvi 30-32Via CALVI PIETRO N. 32 (z.d. 4);ATTIVITA RICETTIVE - Strutt. albergh.;;;;47;0;4;hotel vittoria;;;0;;;70;0;Albergo;;;;
C-AL/60;VIA CUSANI N. 13 (z.d. 1);ATTIVITA RICETTIVE - Strutt. albergh.;VIA CUSANI;13;719;92;0;4;hotel bonaparte;;;0;;;234;0;Albergo;1;9.18339207401;45.4685371504;45.4685371504, 9.18339207401
C-AL/61;Via CANONICA LUIGI N. 38 (z.d. 1);ATTIVITA RICETTIVE - Strutt. albergh.;Via CANONICA LUIGI;38;7121;45;9;3;38;;46;9;5;1|2|3|4|5;70;21;Albergo;1;9.1739449196;45.4792194567;45.4792194567, 9.1739449196
